Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	15.08	35.817	0	2	23	0	0	NA	NA	NA	NA	NA
2	1	2	15.912	36.725	0	2	81	1.232	1.232	NA	1.232	NA	47.49	NA
3	1	3	17.048	37.785	0	2	46	2.785	2.783	NA	1.553	NA	43.025	-4.464
4	1	4	17.729	38.769	0	2	69	3.982	3.966	NA	1.197	NA	55.305	12.28
5	1	5	18.41	39.45	0	2	0	4.945	4.928	NA	0.963	NA	45	-10.305
6	1	6	18.41	39.45	0	2	11	4.945	4.928	NA	0	NA	0	-45
7	1	7	19.091	39.753	0	2	46	5.69	5.619	NA	0.745	NA	23.962	23.962
8	1	8	19.47	40.434	0	2	58	6.469	6.37	NA	0.779	NA	60.945	36.983
9	1	9	19.621	40.434	0	2	81	6.621	6.476	NA	0.151	NA	0	-60.945
10	1	10	19.999	40.51	0	2	69	7.007	6.798	NA	0.386	NA	11.31	11.31
11	1	11	19.999	40.661	0	2	58	7.158	6.904	NA	0.151	NA	90	78.69
12	1	12	19.848	40.737	0	2	69	7.327	6.851	NA	0.169	NA	153.435	63.435
13	1	13	20.756	41.872	0	2	0	8.781	8.299	NA	1.454	NA	51.34	-102.095
14	1	14	20.226	41.872	0	2	34	9.311	7.946	NA	0.53	NA	180	128.66
15	1	15	20.302	41.418	0	2	11	9.771	7.657	NA	0.46	NA	-80.538	99.462
16	1	16	20.151	40.737	0	2	11	10.469	7.065	NA	0.698	NA	-102.529	-21.991
17	1	17	20.226	40.282	0	2	58	10.929	6.814	NA	0.46	NA	-80.538	21.991
18	1	18	19.545	40.282	0	2	23	11.611	6.315	NA	0.681	NA	180	-99.462
19	1	19	19.621	39.828	0	2	104	12.071	6.059	NA	0.46	NA	-80.538	99.462
20	1	20	19.243	39.072	0	2	34	12.917	5.284	NA	0.846	NA	-116.565	-36.027
21	1	21	18.713	38.466	0	2	69	13.722	4.496	NA	0.805	NA	-131.186	-14.621
22	1	22	18.788	37.861	0	2	23	14.332	4.234	NA	0.61	NA	-82.875	48.311
23	1	23	18.864	38.239	0	2	58	14.718	4.493	NA	0.386	NA	78.69	161.565
24	1	24	18.788	38.163	0	2	104	14.825	4.388	NA	0.107	NA	-135	146.31
25	1	25	18.561	36.877	0	2	23	16.131	3.639	NA	1.306	NA	-100.008	34.992
26	1	26	18.486	37.255	0	2	46	16.517	3.697	NA	0.386	NA	101.31	-158.682
27	1	27	18.561	37.104	0	2	23	16.686	3.712	NA	0.169	NA	-63.435	-164.745
28	1	28	18.41	37.104	0	2	81	16.838	3.57	NA	0.151	NA	180	-116.565
29	1	29	18.41	37.104	0	2	81	16.838	3.57	NA	0	NA	0	-180
30	1	30	18.334	37.179	0	2	46	16.945	3.528	NA	0.107	NA	135	135
31	1	31	18.259	37.179	0	2	116	17.021	3.458	NA	0.076	NA	180	45
32	1	32	18.259	37.255	0	2	34	17.096	3.489	NA	0.076	NA	90	-90
33	1	33	18.486	37.407	0	2	34	17.369	3.758	NA	0.273	NA	33.69	-56.31
34	1	34	18.259	37.482	0	2	128	17.608	3.588	NA	0.239	NA	161.565	127.875
35	1	35	18.259	37.558	0	2	81	17.684	3.624	NA	0.076	NA	90	-71.565
36	1	36	18.486	37.936	0	2	58	18.125	4.011	NA	0.441	NA	59.036	-30.964
37	1	37	18.259	37.861	0	2	46	18.365	3.779	NA	0.239	NA	-161.565	139.399
38	1	38	18.259	37.861	0	2	116	18.365	3.779	NA	0	NA	0	161.565
39	1	39	18.259	37.861	0	2	81	18.365	3.779	NA	0	NA	0	0
40	1	40	18.41	38.163	0	2	116	18.703	4.074	NA	0.338	NA	63.435	63.435
41	1	41	18.561	38.163	0	2	34	18.855	4.198	NA	0.151	NA	0	-63.435
42	1	42	18.486	38.163	0	2	139	18.93	4.136	NA	0.076	NA	180	180
43	1	43	18.486	38.163	0	2	81	18.93	4.136	NA	0	NA	0	-180
44	1	44	18.486	38.163	0	2	81	18.93	4.136	NA	0	NA	0	0
45	1	45	18.41	38.163	0	2	46	19.006	4.074	NA	0.076	NA	180	180
46	1	46	18.486	38.163	0	2	11	19.082	4.136	NA	0.076	NA	0	-180
47	1	47	18.41	38.239	0	2	34	19.189	4.118	NA	0.107	NA	135	135
48	2	1	20.605	47.17	0	2	0	0	0	NA	NA	NA	NA	NA
49	2	2	21.059	46.716	0	2	11	0.642	0.642	NA	0.642	NA	-45	NA
50	2	3	21.059	46.64	0	2	0	0.718	0.698	NA	0.076	NA	-90	-45
51	2	4	20.983	46.64	0	2	11	0.794	0.651	NA	0.076	NA	180	-90
52	2	5	19.621	46.413	0	2	0	2.175	1.241	NA	1.381	NA	-170.538	9.462
53	2	6	19.243	44.823	0	2	11	3.808	2.713	NA	1.634	NA	-103.392	67.145
54	2	7	19.243	44.445	0	2	11	4.187	3.046	NA	0.378	NA	-90	13.392
55	2	8	19.015	44.142	0	2	58	4.565	3.419	NA	0.378	NA	-126.87	-36.87
56	2	9	18.788	44.142	0	2	0	4.792	3.53	NA	0.227	NA	180	-53.13
57	2	10	18.259	43.764	0	2	23	5.443	4.136	NA	0.651	NA	-144.462	35.538
58	2	11	18.259	43.764	0	2	0	5.443	4.136	NA	0	NA	0	144.462
59	2	12	18.259	43.84	0	2	34	5.519	4.074	NA	0.076	NA	90	90
60	2	13	18.107	43.84	0	2	34	5.67	4.163	NA	0.151	NA	180	90
61	2	14	18.183	43.84	0	2	23	5.746	4.118	NA	0.076	NA	0	-180
62	2	15	18.334	43.688	0	2	11	5.96	4.156	NA	0.214	NA	-45	-45
63	2	16	18.183	43.613	0	2	23	6.129	4.303	NA	0.169	NA	-153.435	-108.435
64	2	17	17.805	43.764	0	2	11	6.537	4.409	NA	0.408	NA	158.199	-48.366
65	2	18	18.032	43.537	0	2	46	6.858	4.452	NA	0.321	NA	-45	156.801
66	3	1	20.075	43.764	0	2	58	0	0	NA	NA	NA	NA	NA
67	3	2	20.226	43.764	0	2	11	0.151	0.151	NA	0.151	NA	0	NA
68	3	3	20.605	43.764	0	2	0	0.53	0.53	NA	0.378	NA	0	0
69	3	4	21.059	44.369	0	2	23	1.287	1.155	NA	0.757	NA	53.13	53.13
70	3	5	20.983	45.278	0	2	23	2.198	1.765	NA	0.911	NA	94.764	41.634
71	3	6	20.908	44.369	0	2	0	3.109	1.029	NA	0.911	NA	-94.764	170.473
72	3	7	20.529	43.613	0	2	23	3.955	0.479	NA	0.846	NA	-116.565	-21.801
73	3	8	20.605	42.629	0	2	34	4.942	1.253	NA	0.987	NA	-85.601	30.964
74	3	9	20.983	42.023	0	2	11	5.656	1.963	NA	0.714	NA	-57.995	27.607
75	3	10	20.378	42.023	0	2	0	6.262	1.767	NA	0.605	NA	180	-122.005
76	3	11	20.605	41.72	0	2	0	6.64	2.111	NA	0.378	NA	-53.13	126.87
77	3	12	20.226	42.023	0	2	34	7.125	1.747	NA	0.485	NA	141.34	-165.53
78	3	13	20.68	42.175	0	2	34	7.603	1.701	NA	0.479	NA	18.435	-122.905
79	3	14	20.302	42.402	0	2	58	8.045	1.381	NA	0.441	NA	149.036	130.601
80	3	15	20.302	42.553	0	2	23	8.196	1.232	NA	0.151	NA	90	-59.036
81	3	16	20.378	42.704	0	2	0	8.365	1.102	NA	0.169	NA	63.435	-26.565
82	3	17	19.924	42.78	0	2	46	8.826	0.995	NA	0.46	NA	170.538	107.103
83	3	18	20.605	42.856	0	2	11	9.511	1.051	NA	0.685	NA	6.34	-164.197
84	3	19	20.453	42.553	0	2	0	9.85	1.269	NA	0.338	NA	-116.565	-122.905
85	3	20	20.151	41.266	0	2	34	11.171	2.499	NA	1.322	NA	-103.241	13.325
86	3	21	20.832	42.023	0	2	0	12.189	1.898	NA	1.018	NA	48.013	151.253
87	3	22	20.378	42.175	0	2	23	12.668	1.618	NA	0.479	NA	161.565	113.552
88	3	23	20.605	42.175	0	2	34	12.895	1.675	NA	0.227	NA	0	-161.565
89	3	24	20.908	42.78	0	2	23	13.572	1.289	NA	0.677	NA	63.435	63.435
90	4	1	18.334	43.84	0	2	0	0	0	NA	NA	NA	NA	NA
91	4	2	17.88	43.915	0	2	11	0.46	0.46	NA	0.46	NA	170.538	NA
92	4	3	18.032	43.915	0	2	11	0.612	0.312	NA	0.151	NA	0	-170.538
93	4	4	18.107	43.915	0	2	11	0.687	0.239	NA	0.076	NA	0	0
94	4	5	18.032	43.915	0	2	34	0.763	0.312	NA	0.076	NA	180	180
95	4	6	18.183	43.915	0	2	46	0.914	0.169	NA	0.151	NA	0	-180
96	4	7	18.334	44.294	0	2	11	1.322	0.454	NA	0.408	NA	68.199	68.199
97	4	8	17.729	44.294	0	2	23	1.927	0.757	NA	0.605	NA	180	111.801
98	4	9	18.259	44.294	0	2	23	2.457	0.46	NA	0.53	NA	0	-180
99	4	10	18.561	44.596	0	2	11	2.885	0.79	NA	0.428	NA	45	45
100	4	11	18.107	44.142	0	2	23	3.528	0.378	NA	0.642	NA	-135	-180
101	4	12	18.334	44.142	0	2	11	3.755	0.303	NA	0.227	NA	0	135
102	5	1	17.275	42.78	0	2	81	0	0	NA	NA	NA	NA	NA
103	5	2	17.426	42.704	0	2	0	0.169	0.169	NA	0.169	NA	-26.565	NA
104	5	3	16.745	42.25	0	2	23	0.988	0.749	NA	0.819	NA	-146.31	-119.745
105	5	4	16.821	41.948	0	2	11	1.3	0.948	NA	0.312	NA	-75.964	70.346
106	5	5	16.745	42.023	0	2	58	1.407	0.924	NA	0.107	NA	135	-149.036
107	5	6	17.275	42.402	0	2	23	2.058	0.378	NA	0.651	NA	35.538	-99.462
108	5	7	17.35	42.856	0	2	46	2.518	0.107	NA	0.46	NA	80.538	45
109	5	8	17.805	43.158	0	2	23	3.064	0.651	NA	0.546	NA	33.69	-46.848
110	5	9	17.502	43.613	0	2	93	3.61	0.863	NA	0.546	NA	123.69	90
111	5	10	18.032	43.613	0	2	23	4.14	1.125	NA	0.53	NA	0	-123.69
112	5	11	17.729	43.613	0	2	34	4.442	0.948	NA	0.303	NA	180	180
113	5	12	18.032	43.915	0	2	81	4.871	1.364	NA	0.428	NA	45	-135
114	5	13	18.334	44.672	0	2	81	5.686	2.169	NA	0.815	NA	68.199	23.199
115	5	14	18.788	44.899	0	2	104	6.193	2.604	NA	0.508	NA	26.565	-41.634
116	5	15	19.621	45.883	0	2	23	7.482	3.89	NA	1.289	NA	49.764	23.199
117	5	16	19.394	45.732	0	2	23	7.755	3.634	NA	0.273	NA	-146.31	163.926
118	5	17	18.713	44.975	0	2	34	8.773	2.624	NA	1.018	NA	-131.987	14.323
119	5	18	18.637	44.672	0	2	46	9.085	2.331	NA	0.312	NA	-104.036	27.951
120	5	19	18.94	44.596	0	2	58	9.397	2.464	NA	0.312	NA	-14.036	90
121	5	20	18.713	44.823	0	2	34	9.719	2.499	NA	0.321	NA	135	149.036
122	5	21	19.091	45.126	0	2	34	10.203	2.967	NA	0.485	NA	38.66	-96.34
123	5	22	19.015	45.278	0	2	34	10.372	3.044	NA	0.169	NA	116.565	77.905
